"","time","Africa","Europe","Asia","Americas","Oceania","total","pourcentage_Africa","pourcentage_Europe","pourcentage_Asia","pourcentage_Americas","pourcentage_Oceania"
"1","2020-12-48",0,7,0,0,0,7,0,100,0,0,0
"2","2020-12-49",0,69,0,0,0,69,0,100,0,0,0
"3","2020-12-50",0,142749,71,2862608,0,3005428,0,5,0,95,0
"4","2020-12-51",0,320804,1197296,16032318,0,17550418,0,2,7,91,0
"5","2020-12-52",0,1394137,3715055,22028645,0,27137837,0,5,14,81,0
"6","2021-01-00",0,1936700,2331032,11759196,0,16026928,0,12,15,73,0
"7","2021-01-01",0,16820771,12048576,59078585,0,87947932,0,19,14,67,0
"8","2021-01-02",13000,56488380,21204484,97209272,0,174928136,0,32,12,56,0
"9","2021-01-03",59382,94986160,30550457,145612812,0,271268193,0,35,11,54,0
"10","2021-01-04",178387,133396236,48448771,204725526,0,386927307,0,34,13,53,0
"11","2021-01-05",32206,22151269,8651956,33790579,0,64658216,0,34,13,52,0
"12","2021-02-05",229953,148171626,62729828,232187556,3251,443552167,0,33,14,52,0
"13","2021-02-06",240820,207056581,105037173,333925810,4868,646506072,0,32,16,52,0
"14","2021-02-07",5253757,247757606,160167090,396753301,36580,815222091,1,30,20,49,0
"15","2021-02-08",21787016,292974009,215988259,455355570,189945,1008081815,2,29,21,45,0
"16","2021-02-09",3688796,46387392,34354039,71043606,50691,159213320,2,29,22,45,0
"17","2021-03-09",24635423,321403989,235239683,474064787,517223,1080496528,2,30,22,44,0
"18","2021-03-10",34466385,444103950,345690841,660581527,1103516,1520412604,2,29,23,43,0
"19","2021-03-11",38822336,511325283,447542632,793140049,1872989,1831525625,2,28,24,43,0
"20","2021-03-12",44410734,581871259,581577326,930885523,3152981,2186308557,2,27,27,43,0
"21","2021-03-13",29658380,370835486,381114121,596731360,2719398,1410717125,2,26,27,42,0
"22","2021-04-13",23941680,296965424,324102566,486614023,2589967,1158155340,2,26,28,42,0
"23","2021-04-14",62682353,750157140,897547716,1238532927,7122763,3018725252,2,25,30,41,0
"24","2021-04-15",72906238,860562732,1083416143,1395662796,9646324,3495100471,2,25,31,40,0
"25","2021-04-16",84586211,975542332,1216849051,1517555701,12917276,3892036782,2,25,31,39,0
"26","2021-04-17",79489189,931543015,1150504726,1389475043,12957154,3643458316,2,26,32,38,0
"27","2021-05-17",14102882,163862251,200362332,239185620,2346096,633962063,2,26,32,38,0
"28","2021-05-18",103635555,1216765363,1450544959,1727462090,18072667,4620116189,2,26,31,37,0
"29","2021-05-19",121849342,1349313078,1556718973,1830515248,21413118,5001659101,2,27,31,37,0
"30","2021-05-20",139594602,1480772838,1663253081,1954690252,24407228,5402312603,3,27,31,36,0
"31","2021-05-21",160140978,1600045536,1819336569,2082098003,28504525,5850266589,3,27,31,36,0
"32","2021-05-22",48989208,476596187,555273500,616503047,8992935,1755344085,3,27,32,35,1
