"","Continent_Name","date","country","lifeeexp_2021","Income per person","GDP total","growth_21_22","temps_ecoule","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verification_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_21_22"
"1","Asie",2021-11-27,"Afghanistan",64.74,1950,77660991250,2.17,26,8.95,11.04,13.1257683487171,13.13,3566192,NA,5228706,39835428
"2","Europe",2021-12-18,"Albania",78.7,13950,40078428539,4.17,5,35.1,38.96,78.352304647444,78.35,1008465,123115,2251010,2872934
"3","Afrique",2021-12-14,"Algeria",78.49,10735,478970233056,1.01,9,12.45,15.73,27.8759850644018,27.88,5554702,25381,12437324,44616626
"4","Europe",2021-12-12,"Andorra",NA,63705,4927820447,3.44,11,65.35,73.21,149.583731933707,149.58,50551,8530,115709,77354
"5","Afrique",2021-12-15,"Angola",65.71,6060,205637996110,-0.6,8,10.49,21.35,31.8424142953722,31.84,3559041,NA,10805281,33933611
"6","Amérique du Nord",2021-12-19,"Antigua and Barbuda",77.54,17075,1685787899,10.29,4,59.26,62.95,122.211530670124,122.21,58503,NA,120657,98728
"7","Europe",2021-12-21,"Azerbaijan",71.28,13773,140804665584,0.49,2,45.44,50.32,108.548787950401,108.55,4645903,1306737,11097316,10223344
"8","Asie",2021-12-21,"Azerbaijan",71.28,13773,140804665584,0.49,2,45.44,50.32,108.548787950401,108.55,4645903,1306737,11097316,10223344
"9","Amérique du Sud",2021-12-20,"Argentina",77.25,20613,940072982184,1.46,3,69.61,82.59,161.606547479694,161.61,31747174,4125486,73701996,45605823
"10","Oceanie",2021-12-21,"Australia",83,50130,1292771256938,2.02,2,76.08,78.97,161.517401532646,161.52,19620308,1668344,41652458,25788217
"11","Europe",2021-12-20,"Austria",82.25,53632,484999571086,3.48,3,70.13,72.54,176.345792668686,176.35,6341664,3388226,15947077,9043072
"12","Amérique du Nord",2021-12-15,"Bahamas",74.34,30985,12298267893,7.3,8,36.73,39.61,73.8764568647112,73.88,145793,NA,293226,396914
