"","time","Life expectancy","Population","Income per person","GDP total","GDP per capita growth (%)"
"1",1800,30.64,985083735,1236,1216573903040,NA
"2",1801,30.71,988518009,1235,1219436718270,-0.11
"3",1802,30.6,991993182,1236,1224844009157,0.09
"4",1803,30.28,995509576,1234,1227093242019,-0.17
"5",1804,30.2,999067550,1234,1231808637962,0.03
"6",1805,30.78,1002667483,1232,1234420098242,-0.15
"7",1806,30.79,1006309768,1232,1238138323187,-0.06
"8",1807,30.74,1009994839,1232,1242762662042,0.01
"9",1808,30.71,1013723142,1226,1241264538758,-0.49
"10",1809,30.73,1017495164,1226,1246007667620,0.01
"11",1810,30.82,1022935503,1223,1249697708337,-0.24
"12",1811,30.82,1028432388,1219,1252667611899,-0.3
"13",1812,30.22,1034582343,1217,1258000102337,-0.17
"14",1813,30.75,1041401489,1222,1271796432571,0.43
"15",1814,30.71,1048392002,1223,1280825854709,0.04
"16",1815,30.94,1055558056,1225,1291936918003,0.18
"17",1816,31.05,1062904018,1221,1296923679245,-0.31
"18",1817,31.06,1070434459,1223,1307875907073,0.14
"19",1818,31.02,1078154164,1228,1322567734296,0.4
"20",1819,31,1085762043,1226,1330186246892,-0.13
"21",1820,31.1,1093244955,1232,1345260296958,0.44
"22",1821,31.15,1100353908,1238,1360830379925,0.5
"23",1822,31.12,1107285721,1239,1370861222052,0.11
"24",1823,31.16,1114556675,1245,1385845488198,0.43
"25",1824,31.12,1121928309,1253,1404226266485,0.66
"26",1825,31.13,1129402060,1253,1413636005653,0
"27",1826,31.1,1136978934,1254,1424503869519,0.09
"28",1827,31.19,1144660456,1259,1439838091779,0.39
"29",1828,31.12,1152448156,1259,1449958005651,0.02
"30",1829,31.15,1159787562,1261,1461603221313,0.16
"31",1830,31.19,1166675351,1265,1474922321169,0.31
"32",1831,31.16,1173107948,1274,1493074209132,0.67
"33",1832,30.62,1179053710,1287,1515980501828,1.02
"34",1833,30.55,1184508718,1291,1528188648585,0.34
"35",1834,31.08,1190024997,1295,1540468271215,0.34
"36",1835,31.23,1195603662,1311,1566335994800,1.2
"37",1836,31.28,1201245854,1312,1574659248780,0.06
"38",1837,30.95,1206952746,1313,1584168110206,0.13
"39",1838,30.91,1212725543,1324,1604240223687,0.78
"40",1839,31.29,1218426772,1324,1612391921195,0.04
"41",1840,31.27,1224058418,1336,1634324192816,0.89
"42",1841,31.33,1229625751,1339,1644972150416,0.19
