"","location","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred"
"1","World",2020-12-01,0,1,NA,NA,0,0,NA,NA
"2","World",2020-12-02,0,1,NA,NA,0,0,NA,NA
"3","World",2020-12-03,0,1,NA,NA,0,0,NA,NA
"4","World",2020-12-04,1,2,NA,NA,0,0,NA,NA
"5","World",2020-12-05,1,2,NA,NA,0,0,NA,NA
"6","World",2020-12-06,1,2,NA,NA,0,0,NA,NA
"7","World",2020-12-07,2,3,NA,NA,0,0,NA,NA
"8","World",2020-12-08,7,9,NA,NA,0,0,NA,NA
"9","World",2020-12-09,9,11,NA,NA,0,0,NA,NA
"10","World",2020-12-10,10,12,NA,NA,0,0,NA,NA
"11","World",2020-12-11,14,16,NA,NA,0,0,NA,NA
"12","World",2020-12-12,14,16,NA,NA,0,0,NA,NA
"13","World",2020-12-13,23945,20284,4292,NA,0,0,0,NA
"14","World",2020-12-14,28371,24571,4391,NA,0,0,0,NA
"15","World",2020-12-15,1608403,102380,4615,NA,0.02,0,0,NA
"16","World",2020-12-16,1772098,260621,5030,NA,0.02,0,0,NA
"17","World",2020-12-17,2049975,531462,5646,NA,0.03,0.01,0,NA
"18","World",2020-12-18,2470825,943501,6687,NA,0.03,0.01,0,NA
"19","World",2020-12-19,2653925,1122609,7676,NA,0.03,0.01,0,NA
"20","World",2020-12-20,2766965,1233709,8367,NA,0.04,0.02,0,NA
"21","World",2020-12-21,3181726,1641966,9524,NA,0.04,0.02,0,NA
"22","World",2020-12-22,3706156,2157896,11938,NA,0.05,0.03,0,NA
"23","World",2020-12-23,4397422,2837023,14190,NA,0.06,0.04,0,NA
"24","World",2020-12-24,4693733,3128279,15182,NA,0.06,0.04,0,NA
"25","World",2020-12-25,4753161,3187567,15274,NA,0.06,0.04,0,NA
"26","World",2020-12-26,4933196,3363978,15984,NA,0.06,0.04,0,NA
"27","World",2020-12-27,5194142,3627667,16630,NA,0.07,0.05,0,NA
"28","World",2020-12-28,5974737,4393444,19891,NA,0.08,0.06,0,NA
"29","World",2020-12-29,6963477,5371545,24933,1,0.09,0.07,0,0
"30","World",2020-12-30,8125841,6526856,31004,1,0.1,0.08,0,0
"31","World",2020-12-31,11852289,7218325,33818,1,0.15,0.09,0,0
